GOOG,google,Google Inc.,2017/4/27,Head and Shoulders,Sell
YHOO,yahoo,Yahoo Inc.,2017/4/27,Descending triangle,Sell
FB,facebook,Facebook Inc.,2017/4/27,Head and Shoulders,Sell
TWTR,twitter,"Twitter, Inc. Com",2017/4/27,Head and Shoulders,Sell
MSFT,microsoft,Microsoft Corpora,2017/4/27,Descending triangle,Sell
AAPL,apple,Apple Inc.,2017/4/27,Descending triangle,Sell
TSLA,tesla,"Tesla, Inc",2017/4/27,Head and Shoulders,Sell
NVDA,nvidia,NVIDIA Corporation,2017/4/27,Head and Shoulders,Sell
AMD,amd,"Advanced Micro Devices, Inc.",2017/4/27,Cup and Saucer,Buy
INTC,intel,Intel Corporation,2017/4/27,Cup and Saucer,Buy
